Sample_Number,DAT,time,fan,co2,heater,window1,window2,curtain1,curtain2,curtain3,side_curtain,in_temp,in_hum,in_co2,out_temp,out_hum,solar_rad,wind_speed,wind_direction,rain_sensor,crown_diameter,petiole_length,leaf_count,leaf_length,leaf_width,fruit_count,plant_height,flower_count,numbers of plant
1,16,0:00:00,0,0,0,0,0,0,0,0,0,17.97999992,73.06,486.15,15.95999985,88.85,1.05,0,72.8,0,1.55,12.4,4,9.4,8.1,0,11.21,0,600
1,16,0:10:00,0,0,0,0,0,50,50,0,0,17.89999962,73.2,486.4,15.71999989,89.2,0.67,0,72.8,0,1.55,12.4,4,9.4,8.1,0,11.21,0,600
1,16,0:20:00,0,0,0,0,0,30,30,0,0,17.92999973,73.46,485.87,15.64000025,88.47,0.66,0,75.11,0,1.55,12.4,4,9.4,8.1,0,11.21,0,600
1,16,0:30:00,0,0,0,0,0,30,30,0,0,18.07000027,73.41,489,16.35000019,86.58,0.02,0,83.5,0,1.55,12.4,4,9.4,8.1,0,11.21,0,600
1,16,0:40:00,0,0,0,0,0,30,30,0,0,18.26999989,73.08,494.83,16.85999966,85.7,0.16,0,89.69,0,1.55,12.4,4,9.4,8.1,0,11.21,0,600
1,16,0:50:00,0,0,0,0,0,30,30,0,0,18.43999977,72.76,501.1,16.98999996,86.21,0.93,0,90.25,0,1.55,12.4,4,9.4,8.1,0,11.21,0,600
1,16,1:00:00,1,0,0,0,0,90,90,0,60,18.56000023,72.69,507.85,17.02000008,86.3,0.8,0,104.6,0,1.55,12.4,4,9.4,8.1,0,11.21,0,600
1,16,1:10:00,0,0,0,0,0,30,30,0,0,18.67000065,72.71,511.5,17.09000034,86,0.29,0,116.1,0,1.55,12.4,4,9.4,8.1,0,11.21,0,600
1,16,1:20:00,0,0,0,0,0,0,0,0,0,18.73000031,72.8,513.15,17.16000061,86.5,0.67,0,113.7,0,1.55,12.4,4,9.4,8.1,0,11.21,0,600
1,16,1:30:00,0,0,0,0,0,0,0,0,0,18.79999924,72.9,514.56,17.20000076,86.68,0.7,0,113.36,0,1.55,12.4,4,9.4,8.1,0,11.21,0,600
1,16,1:40:00,0,0,0,0,0,30,30,0,0,18.79999924,72.83,515.28,17.33999939,86.21,0.45,0,113.33,0,1.55,12.4,4,9.4,8.1,0,11.21,0,600
1,16,1:50:00,0,0,0,0,0,30,30,0,0,18.83999939,72.9,514.77,17.45999985,85.72,0.68,0,113.52,0,1.55,12.4,4,9.4,8.1,0,11.21,0,600
1,16,2:00:00,0,0,0,0,0,30,30,0,0,18.88999958,73.1,514.05,17.54000015,85.96,0.56,0,114.2,0,1.55,12.4,4,9.4,8.1,0,11.21,0,600
1,16,2:10:00,0,0,0,0,0,0,0,0,0,18.89999962,73.06,515.2,17.60000038,86.16,1.18,0,99.2,0,1.55,12.4,4,9.4,8.1,0,11.21,0,600
1,16,2:20:00,0,0,0,0,0,20,20,0,0,18.89999962,72.92,517.12,17.6300005,85.54,1.5,0,81.49,0,1.55,12.4,4,9.4,8.1,0,11.21,0,600
1,16,2:30:00,0,0,0,0,0,30,30,0,0,18.89999962,72.92,517.83,17.57000027,85.66,0.36,0,78.89,0,1.55,12.4,4,9.4,8.1,0,11.21,0,600
1,16,2:40:00,0,0,0,0,0,0,0,0,0,18.82999935,73.03,517.95,17.47999992,86.74,0.41,0,78.7,0,1.55,12.4,4,9.4,8.1,0,11.21,0,600
1,16,2:50:00,0,0,0,0,0,30,30,0,0,18.79999924,72.86,518.95,17.48999996,86.94,1.54,0,79,0,1.55,12.4,4,9.4,8.1,0,11.21,0,600
1,16,3:00:00,0,0,0,0,0,0,0,0,0,18.74000015,72.65,519.56,17.35999947,85.64,1.16,0,81.72,0,1.55,12.4,4,9.4,8.1,0,11.21,0,600
1,16,3:10:00,0,0,0,0,0,30,30,0,0,18.62000046,72.44,518.11,17.21000061,84.39,0.66,0,87.67,0,1.55,12.4,4,9.4,8.1,0,11.21,0,600
