Sample_Number,CO2 final
1,0.564263419
2,1.923189723
3,0.857172136
4,0.348478175
5,-0.415764125
7,0.920207668
8,0.870057222
9,1.940201219
11,0.76008917
12,0.36112014
13,6.500139215
14,6.477039779
15,6.082621019
18,6.795476202
21,8.330466353
22,7.85893124
23,0.642664521
24,0.77963974
27,0.256464743
28,0.182292304
29,1.527402659
32,1.840099176
33,0.540920192
34,0.683085441
35,1.292849307
36,-3.180679271
37,0.727113122
38,0.107794251
40,0.697592618
41,-1.202735397
42,-1.318542401
43,-1.697303288
44,-2.457069525
45,-3.249948074
47,-3.808210478
48,-4.529780043
49,-4.40436747
50,-2.098896573
51,-0.668603883
52,-6.662874715
53,-6.23095623
54,0.104759538
55,-0.280164112
58,-0.150184553
59,-0.780348549
60,-3.19144191
62,-2.163600514
63,4.396526605
64,-3.581444616
65,-3.524752918
66,-3.380835023
71,-2.287659963
72,-2.620528258
73,0.195039748
75,0.44732336
77,1.767444913
78,4.686533595
79,4.980293984
81,4.759244679
82,6.02676632
84,2.005058173
85,0.681034029
86,0.428379448
88,3.350793353
89,-0.879931749
90,-5.701284638
91,-3.610081973
92,-5.268047531
93,-3.853706239
95,-4.366046789
99,-1.884472927
100,1.640609221
103,-1.485895116
104,-3.896038275
105,-6.792450192
106,-0.676264213
107,-3.979028878
108,-3.72689632
111,-5.848185487
113,-6.269880058
115,-5.289331779
117,-8.207487538
118,-3.467302271
119,-2.933124002
120,-0.007048996
122,-4.447727279
124,2.282582934
125,3.12401453
126,2.524705592
127,1.278763158
129,-0.060091353
130,0.913672367
131,-0.196017562
132,0.452129291
134,-0.440736632
135,0.383790565
136,-0.385569955
137,0.537817077
144,0.54204657
145,-0.025294255
146,0.197649505
147,1.013103969
148,4.241840524
150,-0.328296282
151,1.359113135
152,2.038487868
153,1.770928545
154,1.296966082
156,2.271116707
158,-0.095570366
159,1.985744091
160,0.280102937
161,7.053325618
162,5.810436246
164,5.575548932
165,8.107904008
166,8.305067628
167,7.35140607
168,5.991039025
169,6.656764643
170,8.073848028
171,7.942933592
172,9.518881896
174,8.142986885
175,8.029655393
178,9.20384698
179,9.266888622
180,11.97239776
182,9.61524374
183,6.065600376
184,8.162268614
185,11.54037671
187,7.480599336
188,1.124429117
189,9.394979942
192,9.151058761
193,9.636146686
195,9.774763921
196,10.76243671
199,13.75119473
200,13.51468472
201,11.1835508
203,5.825702139
204,11.33448702
205,9.072266894
207,7.904534787
208,6.635120534
209,6.083172308
212,7.361104825
213,6.959269324
214,-1.090142602
215,3.803489952
217,8.74408963
220,9.379404841
